tpsa	wlogp
97.80552243681136	-2.227039047489081
101.88198219217963	-2.1900004937640487
105.83667285876659	-2.1352635055090943
109.65398707923741	-2.063044104609906
113.31885965832892	-1.9736273080479292
116.81682701829244	-1.8673660030685453
120.13408428002757	-1.7446795544963347
123.25753974463277	-1.6060521496937052
126.17486656036041	-1.452030887694577
128.87455137106866	-1.2832236200544374
131.3459397541782	-1.100296551937959
133.57927826881107	-0.903971612911568
135.56575294816514	-0.6950236078172709
137.29752408421504	-0.4742771589719089
138.76775716745777	-0.2426034517596168
139.97064985959926	-0.0009167964611120461
140.90145489273314	0.2498289801112721
141.556498804638	0.5086442989322527
141.9331964362546	0.7745077341799151
142.03006113412775	1.0463700443367885
141.84671061754818	1.323158313066756
141.38386848723997	1.6037801835256746
140.64336136963902	1.88712816939478
139.628111708033	2.1720840256232266
138.34212622901268	2.457523161630431
136.790480129753	2.7423190795513075
134.97929704852805	3.025347820008701
132.91572489750854	3.3054923978675586
130.60790765321815	3.5816472104649564
128.06495321597865	3.8527224009187018
125.29689746518848	4.1176481592945535
122.31466465229157	4.375378944657261
119.13002428774791	4.624897611343
115.75554469215258	4.865219423168597
112.20454339481628	5.095395939735363
108.49103457556141	5.314518759490062
104.62967375715677	5.521723104770812
100.63569996666462	5.716191234689457
96.52487559396305	5.8971556723812375
92.313424184794	6.063902233885377
88.0179664138405	6.215772846702879
83.6554544905163	6.352168146908026
79.2431052563408	6.472549844564003
74.79833223793057	6.576442848107324
70.3386769237657	6.663437139317204
65.88173953594848	6.733189391470147
61.445109570167645	6.785424324293678
57.04629637799464	6.8199357903718125
52.7026600654724	6.836587588714733
48.43134298070782	6.83531400228186
44.24920206085525	6.816120057336999
40.17274230548697	6.779081503611968
36.218051638900036	6.7243445153570125
32.400737418429216	6.652125114457824
28.735864839337697	6.562708317895847
25.237897479374148	6.456447012916463
21.92064021763908	6.333760564344252
18.79718475303387	6.195133159541625
15.879857937306236	6.0411118975424944
13.180173126598005	5.872304629902357
10.708784743488392	5.689377561785878
8.475446228855569	5.493052622759485
6.488971549501496	5.284104617665191
4.757200413451594	5.063358168819828
3.286967330208895	4.8316844616075345
2.084074638067364	4.589997806309031
1.1532696049334672	4.339252029736645
0.4982256930286379	4.0804367109156665
0.12152806141202838	3.8145732756680006
0.024663363538902687	3.5427109655111297
0.2080138801184492	3.265922696781163
0.6708560104266521	2.9853008263222423
1.4113631280275918	2.701952840453139
2.426612789633675	2.416996984224689
3.7125982686539536	2.1315578482174877
5.264244367913619	1.846761930296613
7.0754274491385845	1.5637331898392164
9.138999600158078	1.2835886119803601
11.4468168444485	1.0074337993829612
13.989771281687991	0.7363586089292161
16.75782703247815	0.4714328505533679
19.740059845375065	0.21370206519065607
22.92470020991869	-0.03581660149508132
26.29917980551407	-0.27613841332067823
29.85018110285037	-0.506314929887444
33.563689922105276	-0.7254377496421445
37.425050740509896	-0.9326420949228948
41.419024531002	-1.127110224841536
45.529848903703616	-1.3080746625333208
49.7413003128726	-1.4748212240374596
54.0367580838262	-1.6266918368549592
58.39927000715034	-1.7630871370601089
62.81161924132584	-1.8834688347160848
67.25639225973609	-1.9873618382594065
71.71604757390092	-2.074356129469285
76.17298496171819	-2.144108381622228
80.609614927499	-2.196343314445759
85.00842811967199	-2.2308547805238947
89.35206443219425	-2.247506578866816
93.62338151695882	-2.2462329924339417
97.80552243681143	-2.2270390474890807
